Prophage	Defense_System	System_Type	System_Subtype	Coverage
GCA_000791705.1_AZPAE14957/JTQK01000059.1_provirus_47_34560	GCA_000791705.1_AZPAE14957_RosmerTA_2	RosmerTA	RosmerTA	100.00%
GCA_963449865.1_t159_d1_B8.1/CAUNMN010000021.1_provirus_18771_31960	GCA_963449865.1_t159_RM_Type_II_5	RM	RM_Type_II	100.00%
GCA_963449865.1_t159_d1_B8.1/CAUNMN010000014.1_provirus_122566_169697	GCA_963449865.1_t159_Retron_III_4	Retron	Retron_III	100.00%
GCA_963437695.1_p4_d1_C5.1/CAULQW010000036.1_provirus_14656_48295	GCA_963437695.1_p4_RM_Type_I_8	RM	RM_Type_I	41.71%
GCA_027856115.1_ASM2785611v1/JAHEQL010000001.1_provirus_390947_447755	GCA_027856115.1_ASM2785611v1_Zorya_TypeI_16	Zorya	Zorya_TypeI	63.65%
GCA_003838505.1_ASM383850v1/NSVM01000001.1_provirus_59347_72197	GCA_003838505.1_ASM383850v1_Gao_Tmn_2	Gao_Tmn	Gao_Tmn	100.00%
GCA_003838505.1_ASM383850v1/NSVM01000009.1_provirus_143004_178211	GCA_003838505.1_ASM383850v1_DS-11_1	DS-11	DS-11	100.00%
GCA_963426865.1_t16_s_F4.1/CAUKBX010000003.1_provirus_329190_374641	GCA_963426865.1_t16_AbiU_1	AbiU	AbiU	100.00%
GCA_027857075.1_ASM2785707v1/JAOUSV010000002.1_provirus_33594_76948	GCA_027857075.1_ASM2785707v1_ShosTA_7	ShosTA	ShosTA	100.00%
GCA_034045755.1_ASM3404575v1/JAXCPE010000007.1_provirus_116865_131686	GCA_034045755.1_ASM3404575v1_Retron_III_10	Retron	Retron_III	100.00%
GCA_003630195.1_ASM363019v1/RADK01000097.1_provirus_12395_60331	GCA_003630195.1_ASM363019v1_ShosTA_6	ShosTA	ShosTA	41.51%
GCA_006864585.1_ASM686458v1/QJGW01000002.1_provirus_338749_390344	GCA_006864585.1_ASM686458v1_DS-6_1	DS-6	DS-6	100.00%
GCA_006864585.1_ASM686458v1/QJGW01000002.1_provirus_338749_390344	GCA_006864585.1_ASM686458v1_HEC-04_3	HEC-04	HEC-04	100.00%
GCA_003441515.1_ASM344151v1/CP031877.1_provirus_5671720_5714413	GCA_003441515.1_ASM344151v1_ShosTA_7	ShosTA	ShosTA	100.00%
GCA_027855495.1_ASM2785549v1/JAHERQ010000001.1_provirus_4326956_4349223	GCA_027855495.1_ASM2785549v1_RM_Type_I_7	RM	RM_Type_I	100.00%
GCA_963432225.1_t152_d1_H7.1/CAUKVV010000002.1_provirus_119919_156180	GCA_963432225.1_t152_PD-Lambda-5_7	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_902202455.1_BS2250/CABIND010000002.1_provirus_344202_383146	GCA_902202455.1_BS2250_PD-Lambda-5_6	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_902202455.1_BS2250/CABIND010000028.1_provirus_51743_70965	GCA_902202455.1_BS2250_Hachiman_5	Hachiman	Hachiman	100.00%
GCA_963431435.1_t96_d1_H12.1/CAUKTQ010000015.1_provirus_43626_57896	GCA_963431435.1_t96_PD-T4-5_2	PD-T4-5	PD-T4-5	100.00%
GCA_963431435.1_t96_d1_H12.1/CAUKTQ010000015.1_provirus_43626_57896	GCA_963431435.1_t96_CBASS_II_5	CBASS	CBASS_II	100.00%
GCA_031734415.1_ASM3173441v1/JASTZC010000001.1_provirus_310228_355420	GCA_031734415.1_ASM3173441v1_PD-T7-4_4	PD-T7-4	PD-T7-4	100.00%
GCA_028569495.1_ASM2856949v1/JAPVAI010000016.1_provirus_57979_91365	GCA_028569495.1_ASM2856949v1_BstA_2	BstA	BstA	100.00%
GCA_900147745.1_138_1/FRUP01000002.1_provirus_404_9999	GCA_900147745.1_138_RM_Type_II_3	RM	RM_Type_II	100.00%
GCA_025132155.1_ASM2513215v1/JANYXW010000026.1_provirus_37797_85729	GCA_025132155.1_ASM2513215v1_BstA_1	BstA	BstA	100.00%
GCA_001750705.1_ASM175070v1/CP017353.1_provirus_5332644_5367958	GCA_001750705.1_ASM175070v1_Tiamat_11	Tiamat	Tiamat	100.00%
GCA_003975885.1_ASM397588v1/RXBV01000003.1_provirus_1_12835	GCA_003975885.1_ASM397588v1_RosmerTA_7	RosmerTA	RosmerTA	100.00%
GCA_015317245.1_ASM1531724v1/JABDTX010000023.1_provirus_116_13681	GCA_015317245.1_ASM1531724v1_Gabija_2	Gabija	Gabija	100.00%
GCA_023909165.1_ASM2390916v1/STOI01000020.1_provirus_26162_72617	GCA_023909165.1_ASM2390916v1_Gabija_3	Gabija	Gabija	100.00%
GCA_024483085.1_PDT001371371.1/DAIJSI010000014.1_provirus_12036_49559	GCA_024483085.1_PDT001371371.1_RloC_1	RloC	RloC	100.00%
GCA_003840885.1_ASM384088v1/NSYU01000006.1_provirus_284090_296001	GCA_003840885.1_ASM384088v1_RM_Type_IV_4	RM	RM_Type_IV	100.00%
GCA_028063995.2_PDT000932678.2/ABKGOO020000002.1_provirus_444085_454697	GCA_028063995.2_PDT000932678.2_Rst_3HP_1	Rst_3HP	Rst_3HP	24.30%
GCA_023938465.1_PDT001345926.1/DAHNPH010000001.1_provirus_112720_166749	GCA_023938465.1_PDT001345926.1_BstA_1	BstA	BstA	100.00%
GCA_000791365.1_AZPAE15026/JTNU01000012.1_provirus_163926_201816	GCA_000791365.1_AZPAE15026_PD-T7-4_4	PD-T7-4	PD-T7-4	100.00%
GCA_003834355.1_ASM383435v1/NSOP01000011.1_provirus_189701_203688	GCA_003834355.1_ASM383435v1_RM_Type_IV_12	RM	RM_Type_IV	100.00%
GCA_003834355.1_ASM383435v1/NSOP01000011.1_provirus_189701_203688	GCA_003834355.1_ASM383435v1_Lamassu-Cap4_nuclease_5	Lamassu-Fam	Lamassu-Cap4_nuclease	100.00%
GCA_003834355.1_ASM383435v1/NSOP01000004.1_provirus_421339_463731	GCA_003834355.1_ASM383435v1_Gabija_3	Gabija	Gabija	100.00%
GCA_016343965.1_ASM1634396v1/JAEHYJ010000003.1_provirus_33267_70790	GCA_016343965.1_ASM1634396v1_RloC_1	RloC	RloC	100.00%
GCA_013343495.1_ASM1334349v1/CP050331.1_provirus_3744188_3781408	GCA_013343495.1_ASM1334349v1_PD-T7-4_3	PD-T7-4	PD-T7-4	100.00%
GCA_030068955.1_ASM3006895v1/JALJNW010000012.1_provirus_83128_155986	GCA_030068955.1_ASM3006895v1_RosmerTA_3	RosmerTA	RosmerTA	100.00%
GCA_031847935.1_ASM3184793v1/JASCHH010000017.1_provirus_53839_65954	GCA_031847935.1_ASM3184793v1_Menshen_3	Menshen	Menshen	100.00%
GCA_950101175.1_OXK1/CATNLD010000001.1_provirus_5356953_5366906	GCA_950101175.1_OXK1_ShosTA_1	ShosTA	ShosTA	59.88%
GCA_029603955.1_ASM2960395v1/JAKKMC010000016.1_provirus_26074_78893	GCA_029603955.1_ASM2960395v1_BstA_2	BstA	BstA	100.00%
GCA_031733555.1_ASM3173355v1/JASTXK010000019.1_provirus_24844_49644	GCA_031733555.1_ASM3173355v1_Gabija_2	Gabija	Gabija	100.00%
GCA_021538635.1_ASM2153863v1/JAJUKF010000017.1_provirus_3_10611	GCA_021538635.1_ASM2153863v1_RM_Type_II_5	RM	RM_Type_II	39.50%
GCA_021538635.1_ASM2153863v1/JAJUKF010000008.1_provirus_144294_229353	GCA_021538635.1_ASM2153863v1_RosmerTA_3	RosmerTA	RosmerTA	100.00%
GCA_031734135.1_ASM3173413v1/JASTYN010000001.1_provirus_281753_320326	GCA_031734135.1_ASM3173413v1_PD-T7-4_4	PD-T7-4	PD-T7-4	100.00%
GCA_015737685.1_ASM1573768v1/JADSPY010000002.1_provirus_633878_666939	GCA_015737685.1_ASM1573768v1_RosmerTA_1	RosmerTA	RosmerTA	58.80%
GCA_963448725.1_t54_s_A9.1/CAUNII010000001.1_provirus_326104_396817	GCA_963448725.1_t54_RosmerTA_4	RosmerTA	RosmerTA	100.00%
GCA_013912665.1_ASM1391266v1/JACEPH010000019.1_provirus_23_43789	GCA_013912665.1_ASM1391266v1_ShosTA_11	ShosTA	ShosTA	100.00%
GCA_013912665.1_ASM1391266v1/JACEPH010000009.1_provirus_241368_282461	GCA_013912665.1_ASM1391266v1_Hma_6	Hma	Hma	100.00%
GCA_013912665.1_ASM1391266v1/JACEPH010000009.1_provirus_241368_282461	GCA_013912665.1_ASM1391266v1_HEC-08_5	HEC-08	HEC-08	100.00%
GCA_013912665.1_ASM1391266v1/JACEPH010000009.1_provirus_241368_282461	GCA_013912665.1_ASM1391266v1_HEC-02_4	HEC-02	HEC-02	100.00%
GCA_963441065.1_p4_d1_G4.1/CAUMES010000035.1_provirus_14656_48295	GCA_963441065.1_p4_RM_Type_I_8	RM	RM_Type_I	41.71%
GCA_030738495.1_ASM3073849v1/JARKJV010000004.1_provirus_538449_575869	GCA_030738495.1_ASM3073849v1_PD-Lambda-5_9	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_021705175.1_PDT000753293.1/DAFRXI010000028.1_provirus_1_21598	GCA_021705175.1_PDT000753293.1_Gabija_1	Gabija	Gabija	100.00%
GCA_021060585.1_ASM2106058v1/JAIGYZ010000113.1_provirus_93_52759	GCA_021060585.1_ASM2106058v1_BstA_1	BstA	BstA	100.00%
GCA_021060585.1_ASM2106058v1/JAIGYZ010000074.1_provirus_45944_66467	GCA_021060585.1_ASM2106058v1_Gabija_2	Gabija	Gabija	100.00%
GCA_034814605.1_PDT002042784.1/DATZNE010000001.1_provirus_54264_114267	GCA_034814605.1_PDT002042784.1_RosmerTA_1	RosmerTA	RosmerTA	100.00%
GCA_028608825.1_ASM2860882v1/CP075787.1_provirus_2351885_2418485	GCA_028608825.1_ASM2860882v1_RosmerTA_2	RosmerTA	RosmerTA	100.00%
GCA_000794965.1_AZPAE14731/JTWB01000008.1_provirus_188898_201166	GCA_000794965.1_AZPAE14731_PfiAT_3	PfiAT	PfiAT	41.78%
GCA_015733695.1_ASM1573369v1/JADSMT010000016.1_provirus_8082_45072	GCA_015733695.1_ASM1573369v1_PD-T7-4_2	PD-T7-4	PD-T7-4	100.00%
GCA_963453665.1_p33_d1_E10.1/CAUOBI010000020.1_provirus_3696_40042	GCA_963453665.1_p33_PD-T7-4_5	PD-T7-4	PD-T7-4	100.00%
GCA_963441575.1_p23_d1_B9.1/CAUMGT010000011.1_provirus_55161_92526	GCA_963441575.1_p23_RosmerTA_6	RosmerTA	RosmerTA	100.00%
GCA_030742275.1_ASM3074227v1/JARKMK010000008.1_provirus_141207_195299	GCA_030742275.1_ASM3074227v1_BstA_1	BstA	BstA	100.00%
GCA_013434705.1_ASM1343470v1/JAAOGE010000024.1_provirus_53482_63212	GCA_013434705.1_ASM1343470v1_ShosTA_4	ShosTA	ShosTA	59.88%
GCA_033140865.1_ASM3314086v1/JAWLOZ010000001.1_provirus_383083_427972	GCA_033140865.1_ASM3314086v1_ShosTA_9	ShosTA	ShosTA	100.00%
GCA_031374005.1_PDT001880973.1/DAPIHV010000017.1_provirus_27485_54862	GCA_031374005.1_PDT001880973.1_Gabija_1	Gabija	Gabija	100.00%
GCA_900146915.1_365/FRRM01000030.1_provirus_30920_66971	GCA_900146915.1_365_RosmerTA_5	RosmerTA	RosmerTA	62.75%
GCA_028608665.1_ASM2860866v1/CP075778.1_provirus_2529666_2581388	GCA_028608665.1_ASM2860866v1_BstA_1	BstA	BstA	100.00%
GCA_022915975.2_ASM2291597v2/CP137915.1_provirus_2532213_2577664	GCA_022915975.2_ASM2291597v2_AbiU_1	AbiU	AbiU	100.00%
GCA_963439985.1_t95_srt_E1.1/CAUMAT010000023.1_provirus_79877_107495	GCA_963439985.1_t95_PD-T7-4_2	PD-T7-4	PD-T7-4	100.00%
GCA_013434375.1_ASM1343437v1/JAALHU010000002.1_provirus_58798_71100	GCA_013434375.1_ASM1343437v1_RM_Type_II_2	RM	RM_Type_II	100.00%
GCA_902202815.1_BS2363/CABIPA010000002.1_provirus_344202_383146	GCA_902202815.1_BS2363_PD-Lambda-5_6	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_902202815.1_BS2363/CABIPA010000032.1_provirus_51743_71025	GCA_902202815.1_BS2363_Hachiman_5	Hachiman	Hachiman	100.00%
GCA_003969295.1_ASM396929v1/RXVO01000002.1_provirus_338982_384433	GCA_003969295.1_ASM396929v1_AbiU_1	AbiU	AbiU	100.00%
GCA_003969295.1_ASM396929v1/RXVO01000026.1_provirus_1_40732	GCA_003969295.1_ASM396929v1_RM_Type_I_20	RM	RM_Type_I	43.61%
GCA_003969295.1_ASM396929v1/RXVO01000026.1_provirus_1_40732	GCA_003969295.1_ASM396929v1_Septu_14	Septu	Septu	34.57%
GCA_031822555.1_ASM3182255v1/JAVQOL010000009.1_provirus_203143_239634	GCA_031822555.1_ASM3182255v1_RloC_2	RloC	RloC	100.00%
GCA_020406515.1_ASM2040651v1/JAIZEC010000009.1_provirus_37229_69417	GCA_020406515.1_ASM2040651v1_Gabija_2	Gabija	Gabija	33.66%
GCA_949072665.1_ID90_318_19_S3_scaffolds/CARTYY010000007.1_provirus_236469_249054	GCA_949072665.1_ID90_PfiAT_5	PfiAT	PfiAT	41.78%
GCA_900148295.1_LRJ17/FRWR01000009.1_provirus_410_10005	GCA_900148295.1_LRJ17_RM_Type_II_3	RM	RM_Type_II	100.00%
GCA_021694035.1_PDT000753664.1/DAFRGF010000013.1_provirus_114887_155469	GCA_021694035.1_PDT000753664.1_Gabija_1	Gabija	Gabija	100.00%
GCA_027441335.1_ASM2744133v1/DAIAQQ010000068.1_provirus_1_56709	GCA_027441335.1_ASM2744133v1_BstA_2	BstA	BstA	100.00%
GCA_027441335.1_ASM2744133v1/DAIAQQ010000036.1_provirus_115826_152826	GCA_027441335.1_ASM2744133v1_PD-T7-4_10	PD-T7-4	PD-T7-4	100.00%
GCA_025921325.1_PDT001471602.1/DAJRTI010000007.1_provirus_87184_110070	GCA_025921325.1_PDT001471602.1_SspBCDE_6	SspBCDE	SspBCDE	100.00%
GCA_963429295.1_p82_d1_G3.1/CAUKKX010000018.1_provirus_2_58321	GCA_963429295.1_p82_RosmerTA_7	RosmerTA	RosmerTA	94.88%
GCA_003940625.1_ASM394062v1/RHSC01000030.1_provirus_3_7097	GCA_003940625.1_ASM394062v1_Septu_3	Septu	Septu	100.00%
GCA_000583935.1_ASM58393v1/CP006982.1_provirus_2510869_2546159	GCA_000583935.1_ASM58393v1_Tiamat_6	Tiamat	Tiamat	100.00%
GCA_963441615.1_p51_d1_G7.1/CAUMGO010000001.1_provirus_659033_706974	GCA_963441615.1_p51_ShosTA_3	ShosTA	ShosTA	100.00%
GCA_029604815.1_ASM2960481v1/JAKKKN010000013.1_provirus_57734_94384	GCA_029604815.1_ASM2960481v1_RosmerTA_3	RosmerTA	RosmerTA	100.00%
GCA_004123475.1_ASM412347v1/SDVT01000002.1_provirus_239301_276782	GCA_004123475.1_ASM412347v1_DS-4_1	DS-4	DS-4	100.00%
GCA_028608865.1_ASM2860886v1/CP075792.1_provirus_5479299_5493424	GCA_028608865.1_ASM2860886v1_Retron_IV_6	Retron	Retron_IV	100.00%
GCA_000796175.1_AZPAE14410/JTYM01000001.1_provirus_63738_101913	GCA_000796175.1_AZPAE14410_Lamassu-Cap4_nuclease_2	Lamassu-Fam	Lamassu-Cap4_nuclease	53.95%
GCA_000508765.1_ASM50876v1/CP006937.1_provirus_2468963_2504254	GCA_000508765.1_ASM50876v1_Tiamat_6	Tiamat	Tiamat	100.00%
GCA_004370875.1_ASM437087v1/RWLG01000003.1_provirus_48721_121640	GCA_004370875.1_ASM437087v1_RosmerTA_3	RosmerTA	RosmerTA	100.00%
GCA_031734115.1_ASM3173411v1/JASTYM010000001.1_provirus_281753_320326	GCA_031734115.1_ASM3173411v1_PD-T7-4_4	PD-T7-4	PD-T7-4	100.00%
GCA_019690875.1_ASM1969087v1/JADIVG010000021.1_provirus_81016_96104	GCA_019690875.1_ASM1969087v1_Gabija_1	Gabija	Gabija	39.62%
GCA_002312245.1_ASM231224v1/MWXS01000002.1_provirus_386248_441709	GCA_002312245.1_ASM231224v1_RosmerTA_8	RosmerTA	RosmerTA	100.00%
GCA_029953835.1_ASM2995383v1/JAPCTA010000019.1_provirus_53605_62728	GCA_029953835.1_ASM2995383v1_RM_Type_IV_6	RM	RM_Type_IV	0.97%
GCA_003631575.1_ASM363157v1/RAAU01000079.1_provirus_3_41019	GCA_003631575.1_ASM363157v1_BstA_1	BstA	BstA	100.00%
GCA_004349825.1_ASM434982v1/SCWM01000009.1_provirus_127581_167807	GCA_004349825.1_ASM434982v1_DS-1_2	DS-1	DS-1	100.00%
GCA_029835095.1_ASM2983509v1/JAODZD010000039.1_provirus_4058_42520	GCA_029835095.1_ASM2983509v1_PD-T7-4_2	PD-T7-4	PD-T7-4	100.00%
GCA_004123515.1_ASM412351v1/SDVL01000027.1_provirus_21906_68040	GCA_004123515.1_ASM412351v1_gcu24_6	gcu24	gcu24	100.00%
GCA_004123515.1_ASM412351v1/SDVL01000009.1_provirus_44712_82193	GCA_004123515.1_ASM412351v1_DS-4_1	DS-4	DS-4	100.00%
GCA_000792855.1_AZPAE15010/JTOK01000027.1_provirus_2_19009	GCA_000792855.1_AZPAE15010_Gabija_8	Gabija	Gabija	100.00%
GCA_020640375.1_ASM2064037v1/JAJDQT010000001.1_provirus_429770_469781	GCA_020640375.1_ASM2064037v1_DS-1_1	DS-1	DS-1	100.00%
GCA_963433305.1_t168_s_F12.1/CAULAT010000006.1_provirus_143430_180795	GCA_963433305.1_t168_RosmerTA_6	RosmerTA	RosmerTA	100.00%
GCA_003631615.1_ASM363161v1/RAAR01000076.1_provirus_2_41009	GCA_003631615.1_ASM363161v1_BstA_1	BstA	BstA	100.00%
GCA_020640455.1_ASM2064045v1/JAJDSE010000019.1_provirus_68995_105523	GCA_020640455.1_ASM2064045v1_PD-T7-4_2	PD-T7-4	PD-T7-4	100.00%
GCA_021660815.2_ASM2166081v2/CP123793.1_provirus_2500532_2545983	GCA_021660815.2_ASM2166081v2_AbiU_1	AbiU	AbiU	100.00%
GCA_902703185.1_PcyII-29/LR739068.1_provirus_4945493_4980251	GCA_902703185.1_PcyII-29_DS-1_4	DS-1	DS-1	100.00%
GCA_016745155.1_ASM1674515v1/CP054844.1_provirus_4648222_4671271	GCA_016745155.1_ASM1674515v1_RM_Type_IIG_11	RM	RM_Type_IIG	100.00%
GCA_016745155.1_ASM1674515v1/CP054844.1_provirus_1383325_1428517	GCA_016745155.1_ASM1674515v1_PD-T7-4_4	PD-T7-4	PD-T7-4	100.00%
GCA_021660875.3_ASM2166087v3/CP136987.1_provirus_2531619_2577070	GCA_021660875.3_ASM2166087v3_AbiU_1	AbiU	AbiU	100.00%
GCA_900144435.1_100/FRHW01000109.1_provirus_25922_41750	GCA_900144435.1_100_Zorya_TypeI_19	Zorya	Zorya_TypeI	63.65%
GCA_901034995.1_TAL/CAAKMP010000044.1_provirus_155548_192059	GCA_901034995.1_TAL_PD-Lambda-5_7	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_002326355.1_ASM232635v1/NQZX01000017.1_provirus_29_84338	GCA_002326355.1_ASM232635v1_PD-Lambda-5_16	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_002326355.1_ASM232635v1/NQZX01000021.1_provirus_29_14640	GCA_002326355.1_ASM232635v1_RloC_12	RloC	RloC	100.00%
GCA_963432185.1_p81_s_B9.1/CAUKWK010000021.1_provirus_18559_30983	GCA_963432185.1_p81_RM_Type_IV_4	RM	RM_Type_IV	100.00%
GCA_003835495.1_ASM383549v1/NSOR01000001.1_provirus_333658_377012	GCA_003835495.1_ASM383549v1_ShosTA_6	ShosTA	ShosTA	100.00%
GCA_034046195.1_ASM3404619v1/JAXCOD010000001.1_provirus_582980_620305	GCA_034046195.1_ASM3404619v1_PD-Lambda-5_12	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_024179205.1_ASM2417920v1/JAMZQN010000019.1_provirus_126130_145376	GCA_024179205.1_ASM2417920v1_Hachiman_4	Hachiman	Hachiman	100.00%
GCA_023994835.1_PDT001339900.1/DAHPXB010000039.1_provirus_25617_53163	GCA_023994835.1_PDT001339900.1_PD-Lambda-5_9	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_013178665.1_ASM1317866v1/JABLUF010000013.1_provirus_22362_59838	GCA_013178665.1_ASM1317866v1_PD-T7-4_6	PD-T7-4	PD-T7-4	100.00%
GCA_001453675.1_WH-SGI-V-07695/LLSP01000011.1_provirus_11100_49293	GCA_001453675.1_WH-SGI-V-07695_PD-T7-4_7	PD-T7-4	PD-T7-4	100.00%
GCA_015737565.1_ASM1573756v1/JADSPT010000001.1_provirus_338743_384194	GCA_015737565.1_ASM1573756v1_AbiU_1	AbiU	AbiU	100.00%
GCA_000790835.1_AZPAE15047/JTMZ01000003.1_provirus_223191_237186	GCA_000790835.1_AZPAE15047_Old_exonuclease_3	Old_exonuclease	Old_exonuclease	100.00%
GCA_000480785.1_Pseu_aeru_BL18_V1/KI518819.1_provirus_1915223_1966539	GCA_000480785.1_Pseu_HEC-04_1	HEC-04	HEC-04	100.00%
GCA_023908445.1_ASM2390844v1/STPU01000001.1_provirus_356274_394002	GCA_023908445.1_ASM2390844v1_BstA_1	BstA	BstA	100.00%
GCA_002330525.1_ASM233052v1/NRFS01000013.1_provirus_2_17606	GCA_002330525.1_ASM233052v1_RM_Type_I_20	RM	RM_Type_I	43.61%
GCA_002330525.1_ASM233052v1/NRFS01000013.1_provirus_2_17606	GCA_002330525.1_ASM233052v1_Septu_15	Septu	Septu	34.57%
GCA_002330525.1_ASM233052v1/NRFS01000004.1_provirus_2083_41536	GCA_002330525.1_ASM233052v1_AbiU_1	AbiU	AbiU	100.00%
GCA_963443635.1_t122_d1_E7.1/CAUMOZ010000004.1_provirus_210362_256717	GCA_963443635.1_t122_PD-Lambda-5_5	PD-Lambda-5	PD-Lambda-5	100.00%
GCA_963450425.1_t123_s_G2.1/CAUNOH010000023.1_provirus_68419_80308	GCA_963450425.1_t123_RM_Type_IV_6	RM	RM_Type_IV	100.00%
GCA_033691695.1_PDT001726197.1/DARMHP010000031.1_provirus_14474_69629	GCA_033691695.1_PDT001726197.1_DS-6_1	DS-6	DS-6	100.00%
GCA_019084125.1_ASM1908412v1/JAHRDX010000016.1_provirus_59031_71244	GCA_019084125.1_ASM1908412v1_Gabija_1	Gabija	Gabija	49.55%
GCA_018341575.1_ASM1834157v1/JAFBYW010000007.1_provirus_297486_317799	GCA_018341575.1_ASM1834157v1_Gabija_8	Gabija	Gabija	100.00%
GCA_021604085.1_PDT001198176.1/DAFPAD010000004.1_provirus_59307_115577	GCA_021604085.1_PDT001198176.1_RosmerTA_4	RosmerTA	RosmerTA	62.79%
GCA_000791065.1_AZPAE14899/JTSQ01000029.1_provirus_73673_84039	GCA_000791065.1_AZPAE14899_RM_Type_IV_4	RM	RM_Type_IV	100.00%
