Strain,Mash,Defense_Systems,Prophages,Target_Proteins,Spacer_Hit_Prophages
GCA_003836505.1,1,CRISPR-Cas;DISARM;R-M;Septu,,AmpD;Gamp2,P0007;P0011;P0012;P0013;P0014;P0016;P0021;P0022;P0034;P0037;P0038;P0039;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0074;P0081;P0082;P0083
GCA_003836525.1,1,BREX;CRISPR-Cas;CapRel,P0018;P0061,AmpD;Gamp2,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0033;P0034;P0037;P0038;P0039;P0040;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0074;P0081;P0082;P0083
GCA_003840205.1,1,CRISPR-Cas;R-M;SspBCDE,P0029,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0015;P0016;P0021;P0022;P0034;P0037;P0038;P0039;P0042;P0043;P0044;P0045;P0046;P0048;P0049;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0074;P0081;P0083;P0087
GCA_003973815.1,1,,P0011;P0029;P0051,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0016;P0038;P0045;P0046;P0059;P0065;P0081
GCA_003976665.1,1,CRISPR-Cas;DRT;Old_exonuclease;R-M;RloC;Thoeris,P0029,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0026;P0033;P0034;P0037;P0038;P0039;P0040;P0041;P0042;P0043;P0045;P0046;P0047;P0048;P0053;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_004370095.1,1,CRISPR-Cas;MADS;R-M;RloC,P0029,AmpD;Gamp2,P0001;P0003;P0007;P0011;P0012;P0013;P0014;P0016;P0017;P0021;P0022;P0034;P0037;P0038;P0040;P0042;P0043;P0045;P0046;P0047;P0048;P0052;P0057;P0059;P0060;P0065;P0067;P0071;P0073;P0074;P0079;P0081;P0083
GCA_012276675.1,1,CRISPR-Cas;Gabija;R-M;SspBCDE,P0029,AmpD,P0007;P0011;P0012;P0014;P0015;P0016;P0021;P0022;P0034;P0037;P0038;P0039;P0042;P0043;P0044;P0045;P0046;P0048;P0049;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0074;P0081;P0083;P0087
GCA_013328435.1,1,CBASS;Gao_Qat;R-M;RosmerTA,P0001;P0029,AmpD;Gamp2,P0007;P0016;P0021;P0034;P0037;P0046;P0047;P0060;P0065;P0067;P0071;P0074;P0083
GCA_013433525.1,1,Gabija;Shedu;ShosTA,P0029,AmpD;Gamp2,P0049;P0072
GCA_016090295.1,1,CRISPR-Cas;R-M;Septu;ShosTA,P0062,AmpD,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0022;P0034;P0037;P0038;P0039;P0040;P0042;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083
GCA_016343725.1,1,CRISPR-Cas;Gabija;Kiwa;PD-Lambda-5;R-M;RloC;Wadjet;Zorya,,AmpD;Gamp2,P0003;P0007;P0011;P0012;P0014;P0016;P0021;P0022;P0033;P0037;P0038;P0039;P0042;P0043;P0045;P0046;P0047;P0048;P0049;P0050;P0053;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0074;P0081;P0082;P0083;P0089;P0090
GCA_019022575.1,1,CRISPR-Cas;Lamassu-Fam;R-M;RloC;ShosTA,P0017;P0025;P0029,AmpD,P0001;P0003;P0017;P0037;P0040;P0043;P0047;P0060
GCA_019758955.1,1,Gabija;R-M;RloC,P0061;P0062,AmpD;Gamp2,P0081
GCA_021662915.1,1,CRISPR-Cas;R-M;Rst_HelicaseDUF2290;Septu;pAgo,P0004,AmpD;Gamp2,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0019;P0022;P0026;P0032;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0071;P0081;P0083;P0084
GCA_021667415.1,1,R-M;Zorya,P0029,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0016;P0038;P0045;P0046;P0059;P0065;P0081
GCA_021667975.1,1,CRISPR-Cas;Gabija;Kiwa;R-M;RloC;Wadjet;Zorya,,AmpD,P0007;P0012;P0014;P0016;P0019;P0021;P0034;P0037;P0038;P0042;P0045;P0046;P0047;P0048;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0074;P0083
GCA_022552495.1,1,PrrC,P0029;P0051,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0016;P0038;P0045;P0046;P0059;P0065;P0081
GCA_022569995.1,1,AbiD;Avs;BstA;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_023906715.1,1,Gabija;Old_exonuclease,P0029,AmpD,P0054;P0081
GCA_023906755.1,1,Gabija;Old_exonuclease;R-M,,AmpD,P0054;P0081
GCA_023906765.1,1,Gabija;Old_exonuclease;R-M,P0029,AmpD;TpsB,P0025;P0034;P0041;P0045;P0050;P0053;P0054;P0059;P0061;P0062;P0074;P0076;P0081;P0082;P0089
GCA_023907065.1,1,Gabija;Old_exonuclease;R-M,P0029,AmpD,P0081
GCA_023907085.1,1,Gabija;Old_exonuclease,P0029,AmpD,P0025;P0034;P0041;P0045;P0050;P0053;P0059;P0061;P0062;P0074;P0076;P0081;P0089
GCA_023908915.1,1,Gabija;Old_exonuclease,P0029;P0090,AmpD,P0081
GCA_023909165.1,1,CRISPR-Cas;DISARM;Gabija;R-M,P0061,AmpD,P0001;P0002;P0007;P0016;P0019;P0025;P0026;P0027;P0032;P0034;P0037;P0041;P0046;P0047;P0059;P0060;P0062;P0067;P0071;P0074;P0076;P0081;P0084
GCA_023929845.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_025003105.1,1,CRISPR-Cas;Gao_Ppl;JukAB;Lamassu-Fam;Mokosh;R-M;RloC;Wadjet,P0029,AmpD,P0001;P0003;P0007;P0017;P0037;P0040;P0043;P0046;P0047;P0060
GCA_025791575.1,1,Bunzi;CRISPR-Cas;DRT;Gabija;R-M;Septu,P0029,AmpD,P0007;P0011;P0012;P0013;P0014;P0016;P0021;P0022;P0033;P0034;P0037;P0038;P0039;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0082;P0083
GCA_025791645.1,1,R-M,P0029,AmpD,P0007;P0011;P0016;P0037;P0042;P0046;P0059;P0065;P0081
GCA_025791755.1,1,Gao_Qat;R-M;RosmerTA,P0029,AmpD;Gamp2,P0007;P0014;P0016;P0021;P0022;P0034;P0037;P0042;P0046;P0047;P0049;P0053;P0060;P0065;P0067;P0071;P0072;P0081;P0082;P0083;P0090
GCA_025792215.1,1,Gabija;PD-T7-2;PD-T7-3;RloC;Wadjet,P0029,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0016;P0038;P0045;P0046;P0059;P0065;P0081
GCA_025922325.1,1,CRISPR-Cas;PrrC;R-M;Zorya,P0029,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0016;P0019;P0021;P0026;P0033;P0034;P0037;P0038;P0042;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0074;P0081;P0084;P0087
GCA_026014245.1,1,Druantia;JukAB;R-M,P0029,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0016;P0038;P0045;P0046;P0059;P0065;P0081
GCA_027571215.1,1,Prithvi;VP1853,P0009;P0029,AmpD,P0007;P0011;P0016;P0037;P0042;P0046;P0059;P0065;P0081
GCA_028331285.1,1,,P0029,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0016;P0038;P0045;P0046;P0059;P0065;P0081
GCA_028567585.1,1,Bunzi;CRISPR-Cas;DRT;R-M;Septu,P0029,AmpD,P0007;P0011;P0012;P0013;P0014;P0016;P0021;P0022;P0034;P0037;P0038;P0039;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0082;P0083
GCA_028608945.1,1,BREX;CRISPR-Cas;CapRel,P0061,AmpD;Gamp2,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0033;P0034;P0037;P0038;P0039;P0040;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0074;P0081;P0082;P0083
GCA_028609585.1,1,CRISPR-Cas;DRT;DarTG;Gabija;R-M;Septu,P0029,AmpD,P0007;P0011;P0012;P0014;P0015;P0016;P0017;P0020;P0021;P0022;P0024;P0031;P0034;P0037;P0038;P0040;P0043;P0044;P0045;P0046;P0047;P0048;P0054;P0056;P0059;P0060;P0064;P0065;P0067;P0070;P0071;P0074;P0075;P0077;P0080;P0081;P0083;P0087
GCA_028609965.1,1,CRISPR-Cas;Gabija;Kiwa;R-M;RloC;Wadjet;Zorya,,AmpD;Gamp2,P0007;P0011;P0012;P0014;P0016;P0019;P0021;P0033;P0034;P0037;P0038;P0039;P0042;P0043;P0045;P0046;P0047;P0048;P0049;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0074;P0081;P0083
GCA_033091095.1,1,Gabija;Gao_Mza;Old_exonuclease;Prithvi,P0029,AmpD,P0081
GCA_033091155.1,1,Gabija;Gao_Mza;Old_exonuclease;Prithvi,P0029,AmpD,P0014;P0025;P0034;P0041;P0045;P0050;P0053;P0059;P0061;P0062;P0074;P0076;P0081;P0089
GCA_963427695.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963428965.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963430015.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963433385.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963438525.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963440585.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963441445.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963441565.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963441585.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963443055.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963446125.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963447025.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,P0029,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963452945.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_963454635.1,1,AbiD;Avs;CBASS;CRISPR-Cas;Gabija;Hachiman;R-M,,,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0082;P0083;P0087
GCA_025924995.1,2,CBASS;CRISPR-Cas;Gabija;Lamassu-Fam;PrrC;RosmerTA;Wadjet;Zorya,P0009;P0029,DUF1615 protein;Gamp2,P0001;P0003;P0007;P0011;P0012;P0013;P0014;P0016;P0017;P0022;P0037;P0038;P0040;P0042;P0043;P0045;P0046;P0048;P0052;P0054;P0057;P0059;P0065;P0071;P0074;P0080;P0081;P0082;P0083
GCA_018341805.1,3,BstA;CRISPR-Cas;Lamassu-Fam;PD-T4-7;RloC,P0029;P0082,AmpD;DUF1615 protein;Gamp2;lipoprotein E family,P0001;P0007;P0012;P0014;P0015;P0016;P0017;P0019;P0021;P0026;P0032;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0082;P0083;P0084;P0087
GCA_025003585.1,3,CRISPR-Cas;Lamassu-Fam;PD-T4-7;RloC,P0029;P0082,AmpD;DUF1615 protein;Gamp2;lipoprotein E family,P0001;P0007;P0012;P0014;P0015;P0016;P0017;P0019;P0021;P0026;P0032;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0082;P0083;P0084;P0087
GCA_025004485.1,3,CRISPR-Cas;Lamassu-Fam;PD-T4-7;RloC,P0029;P0082,AmpD;DUF1615 protein;lipoprotein E family,P0001;P0007;P0012;P0014;P0015;P0016;P0017;P0019;P0021;P0026;P0032;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0082;P0083;P0084;P0087
GCA_000783275.1,4,CRISPR-Cas;Dpd;Gabija;Hachiman;Lamassu-Fam;R-M;RloC;RosmerTA,P0006;P0022;P0053,AmpD;DUF1615 protein;lipoprotein E family,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0037;P0038;P0039;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0053;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0076;P0081;P0083
GCA_003834825.1,4,CRISPR-Cas;Dpd;Gabija;Hachiman;Lamassu-Fam;R-M;RloC;RosmerTA,P0011;P0053;P0082,AmpD;DUF1615 protein;lipoprotein E family,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0037;P0038;P0039;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0053;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0076;P0081;P0083
GCA_009725015.1,4,CRISPR-Cas;Dpd;Gabija;Hachiman;Lamassu-Fam;R-M;RloC;RosmerTA,P0022;P0043;P0053;P0082,AmpD;DUF1615 protein;lipoprotein E family,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0037;P0038;P0039;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0053;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0076;P0081;P0083
GCA_014155905.1,4,CRISPR-Cas;Dpd;Gabija;Hachiman;Lamassu-Fam;R-M;RloC;RosmerTA,P0043;P0053;P0082,AmpD;DUF1615 protein;lipoprotein E family,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0037;P0038;P0039;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0053;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0076;P0081;P0083
GCA_020771755.1,4,CRISPR-Cas;Dpd;Gabija;Hachiman;Lamassu-Fam;R-M;RloC;RosmerTA,P0011;P0043;P0053;P0082,AmpD;DUF1615 protein;lipoprotein E family,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0037;P0038;P0039;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0053;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0076;P0081;P0083
GCA_023774795.1,4,CRISPR-Cas;Dpd;Gabija;Hachiman;Lamassu-Fam;R-M;RloC;RosmerTA,P0011;P0053;P0082,AmpD;DUF1615 protein;lipoprotein E family,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0037;P0038;P0039;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0053;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0076;P0081;P0083
GCA_023825735.1,4,CRISPR-Cas;Dpd;Gabija;Hachiman;Lamassu-Fam;R-M;RloC;RosmerTA,P0011;P0043;P0053;P0082,AmpD;DUF1615 protein;lipoprotein E family,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0037;P0038;P0039;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0053;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0076;P0081;P0083
GCA_023829535.1,4,CRISPR-Cas;Dpd;Gabija;Hachiman;Lamassu-Fam;R-M;RloC;RosmerTA,P0011;P0053;P0082,AmpD;DUF1615 protein;lipoprotein E family,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0037;P0038;P0039;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0053;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0076;P0081;P0083
GCA_001431165.1,5,CBASS;GAPS1;Lamassu-Fam;R-M;Septu,P0020;P0029,AmpD;DUF1615 protein;Gamp2;lipoprotein E family,P0007;P0011;P0016;P0040;P0043;P0045;P0046;P0047;P0060;P0065;P0081
GCA_003973885.1,5,CBASS;CRISPR-Cas;R-M;RloC;ShosTA,P0050;P0082,AmpD;DUF1615 protein;Gamp2;lipoprotein E family,P0012;P0016;P0017;P0037;P0038;P0040;P0042;P0043;P0045;P0047;P0060;P0067;P0070;P0071;P0081;P0083
GCA_012987005.1,6,CRISPR-Cas;R-M,P0050,AmpD;DUF1615 protein;Gamp2;lipoprotein E family,P0006;P0007;P0009;P0011;P0016;P0017;P0019;P0032;P0037;P0040;P0046;P0065;P0071;P0074;P0080;P0081;P0084;P0085;P0086;P0088
GCA_001444845.1,7,CRISPR-Cas;Gabija;R-M;Retron;RosmerTA;Shedu;Zorya,P0050,AmpD;DUF1615 protein;lipoprotein E family,P0001;P0003;P0007;P0009;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0040;P0041;P0043;P0045;P0046;P0047;P0049;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0083;P0084
GCA_001444995.1,7,CRISPR-Cas;Gabija;R-M;Retron;RosmerTA;Shedu;Zorya,P0050,AmpD;DUF1615 protein;lipoprotein E family,P0001;P0003;P0007;P0009;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0040;P0041;P0043;P0045;P0046;P0047;P0049;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0076;P0081;P0083;P0084
GCA_003968615.1,7,Lamassu-Fam;PrrC;R-M;ShosTA;Zorya,P0050,AmpD;DUF1615 protein;Gamp2;lipoprotein E family,P0001;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0040;P0041;P0043;P0047;P0049;P0059;P0060;P0067;P0070;P0071;P0073;P0076;P0081;P0083;P0084
GCA_900455145.1,7,CRISPR-Cas;Gabija;R-M;Retron;RosmerTA;Shedu;Zorya,P0050;P0082,AmpD;DUF1615 protein;Gamp2;lipoprotein E family,P0001;P0003;P0007;P0009;P0011;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0040;P0041;P0043;P0045;P0046;P0047;P0049;P0059;P0060;P0065;P0067;P0070;P0071;P0072;P0073;P0076;P0081;P0083;P0084
GCA_019167415.1,8,CRISPR-Cas;Olokun;PD-T7-2;R-M,P0063;P0082,AmpD;DUF1615 protein;Gamp2;lipoprotein E family,P0001;P0007;P0019;P0021;P0032;P0037;P0045;P0047;P0049;P0052;P0057;P0059;P0060;P0065;P0070;P0071;P0083;P0084
GCA_025780415.1,8,CRISPR-Cas;Olokun;PD-T7-2;RloC,P0082,AmpD;DUF1615 protein;Gamp2;lipoprotein E family,P0001;P0007;P0010;P0012;P0014;P0019;P0021;P0026;P0032;P0037;P0038;P0045;P0047;P0049;P0052;P0057;P0059;P0060;P0065;P0068;P0070;P0071;P0072;P0083;P0084
GCA_025780515.1,8,CRISPR-Cas;Olokun;PD-T7-2;RloC,P0082,AmpD;DUF1615 protein;Gamp2;lipoprotein E family,P0001;P0007;P0010;P0012;P0014;P0019;P0021;P0026;P0032;P0037;P0038;P0045;P0047;P0049;P0052;P0057;P0059;P0060;P0065;P0068;P0070;P0071;P0072;P0083;P0084
